Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales,Critic_Score,User_Score
The Seven Deadly Sins: Unjust Sin,3DS,2015,Adventure,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08,,
Call of Duty: Black Ops 3,PC,2015,Shooter,Activision,0.0,0.22,0.0,0.01,0.23,,
Valkyrie Profile: Lenneth,PSP,2006,Role-Playing,Square Enix,0.17,0.01,0.16,0.02,0.36000000000000004,80.0,8.4
Hot Wheels: Burnin' Rubber,GBA,2001,Racing,THQ,0.05,0.02,0.0,0.0,0.07,66.0,
John Deere: Harvest in the Heartland,DS,2007,Simulation,Ubisoft,0.23,0.04,0.0,0.02,0.29000000000000004,,
Super Black Bass Fishing,DS,2005,Sports,Majesco Entertainment,0.04,0.0,0.0,0.0,0.04,35.0,
Frontier Gate,PSP,2011,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11,,
Trigger Man,XB,2004,Shooter,Crave Entertainment,0.03,0.01,0.0,0.0,0.04,31.0,
Trapt,PS2,2005,Action,Tecmo Koei,0.03,0.02,0.0,0.01,0.060000000000000005,60.0,7.9
Seek and Destroy,PS2,2002,Racing,Play It,0.52,0.4,0.0,0.14,1.06,63.0,8.8
Wiffle Ball Advance,DS,2007,Sports,Zoo Digital Publishing,0.01,0.0,0.0,0.0,0.01,,
Driv3r,XB,2004,Racing,Atari,0.36,0.38,0.0,0.03,0.77,56.0,4.7
NBA 06,PS2,2005,Sports,Sony Computer Entertainment,0.26,0.2,0.0,0.07,0.53,63.0,6.3
Tony Hawk's Underground,PS2,2003,Sports,Activision,2.29,1.17,0.01,0.42,3.8899999999999997,90.0,8.7
Bust-A-Move 2 Arcade Edition,N64,1997,Puzzle,Acclaim Entertainment,0.06,0.02,0.0,0.0,0.08,,
The Croods: Prehistoric Party!,Wii,2013,Misc,D3Publisher,0.03,0.07,0.0,0.01,0.11,,
Madden NFL 25,PS3,2013,Sports,Electronic Arts,1.59,0.03,0.0,0.15,1.77,,
Don King Presents: Prizefighter,X360,2008,Sports,Take-Two Interactive,0.14,0.08,0.0,0.02,0.24000000000000002,56.0,6.4
18 Wheels of Steel: Extreme Trucker 2,PC,2011,Racing,Rondomedia,0.08,0.02,0.0,0.01,0.11,,8.3
Art of Fighting Anthology,PS2,2006,Fighting,Crave Entertainment,0.02,0.02,0.0,0.01,0.05,60.0,7.0
Monsters vs. Aliens,PS2,2009,Action,Activision,0.11,0.0,0.0,0.08,0.19,64.0,
Virtua Tennis 2009,X360,2009,Sports,Sega,0.12,0.18,0.0,0.03,0.32999999999999996,70.0,6.2
Football Manager 2014,PC,2013,Sports,Sega,0.0,0.6,0.0,0.1,0.7,,
Midnight Club: Los Angeles,X360,2008,Racing,Take-Two Interactive,1.68,0.46,0.01,0.2,2.35,,
Finding Nemo: Escape to the Big Blue,DS,2006,Action,THQ,0.12,0.04,0.0,0.01,0.17,,
Record of Lodoss War: Eiyuu Sensou,SCD,1994,Role-Playing,Sega,0.0,0.0,0.06,0.0,0.06,,
Higurashi no Naku Koro ni Matsuri,PS2,2007,Adventure,Alchemist,0.0,0.0,0.11,0.0,0.11,,
Yoostar2,X360,2011,Misc,Unknown,0.11,0.09,0.0,0.02,0.22,,
Armored Core 4,PS3,2006,Simulation,505 Games,0.09,0.0,0.09,0.01,0.19,65.0,6.8
Medalot 7,3DS,2012,Action,Rocket Company,0.0,0.0,0.13,0.0,0.13,,
MLB 2000,PS,1999,Sports,Sony Computer Entertainment,0.52,0.35,0.0,0.06,0.9299999999999999,,
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,GBA,2005,Adventure,Activision,0.06,0.02,0.0,0.0,0.08,,
LEGO Harry Potter: Years 1-4,X360,2010,Action,Warner Bros. Interactive Entertainment,0.95,0.5,0.0,0.14,1.5899999999999999,,
Might & Magic Heroes VI,PC,2011,Role-Playing,Ubisoft,0.12,0.14,0.0,0.05,0.31,,
Rugby 2005,XB,2005,Sports,Electronic Arts,0.04,0.01,0.0,0.0,0.05,75.0,7.7
RollerCoaster Tycoon: Gold Edition,PC,2002,Strategy,Infogrames,0.01,0.0,0.0,0.0,0.01,,
Legend of Legaia,PS,1998,Role-Playing,Sony Computer Entertainment,0.37,0.25,0.0,0.04,0.66,,
National Geographic Panda (US sales),DS,2008,Simulation,Ubisoft,0.04,0.0,0.0,0.0,0.04,,
PD Ultraman Battle Collection 64,N64,1999,Strategy,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,,
The Lord of the Rings: Conquest,X360,2009,Action,Electronic Arts,0.37,0.21,0.0,0.06,0.6399999999999999,,
Call of Duty: Roads to Victory,PSP,2007,Shooter,Activision,0.52,1.03,0.0,0.59,2.14,,
ATV Offroad Fury 3,PS2,2004,Racing,SouthPeak Games,1.0,0.04,0.0,0.16,1.2,78.0,8.4
Scooby-Doo! First Frights,PS2,2009,Action,Warner Bros. Interactive Entertainment,0.14,0.03,0.0,0.16,0.33,,
Pimp My Ride,X360,2006,Racing,Activision,0.1,0.01,0.0,0.01,0.12,,
LEGO Harry Potter: Years 5-7,PSV,2012,Action,Warner Bros. Interactive Entertainment,0.09,0.1,0.0,0.05,0.24,,
Haneru no Tobira DS: Tanshuku Tetsudou no Yoru,DS,2007,Misc,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,,
LEGO Pirates of the Caribbean: The Video Game,DS,2011,Action,Disney Interactive Studios,0.37,0.49,0.0,0.1,0.96,,
BeatMania IIDX 15: DJ Troopers,PS2,2008,Simulation,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,,
Rayman Origins,PC,2012,Platform,Ubisoft,0.0,0.06,0.0,0.01,0.06999999999999999,86.0,8.4
World Championship Poker,PS2,2004,Misc,Play It,0.8,0.03,0.0,0.13,0.9600000000000001,60.0,7.7
Worms Forts: Under Siege,XB,2004,Strategy,Sega,0.05,0.01,0.0,0.0,0.060000000000000005,67.0,8.0
Ace Combat: Joint Assault,PSP,2010,Simulation,Namco Bandai Games,0.06,0.05,0.15,0.03,0.29000000000000004,71.0,7.2
Patapon 2,PSP,2008,Misc,Sony Computer Entertainment,0.0,0.03,0.06,0.01,0.09999999999999999,81.0,8.3
Terraria,PSV,2013,Action,Screenlife,0.0,0.01,0.09,0.0,0.09999999999999999,85.0,7.8
Bubble Bobble Evolution,PSP,2006,Puzzle,Rising Star Games,0.03,0.0,0.0,0.0,0.03,47.0,
LEGO Pirates of the Caribbean: The Video Game,X360,2011,Action,Disney Interactive Studios,0.54,0.42,0.0,0.1,1.06,,
Metal Slug 4 & 5,PS2,2005,Shooter,SNK Playmore,0.05,0.04,0.0,0.01,0.09999999999999999,,
TwinBee,NES,1986,Shooter,Konami Digital Entertainment,0.0,0.0,1.2,0.0,1.2,,
Advent Rising,XB,2005,Action,THQ,0.1,0.03,0.0,0.0,0.13,68.0,7.5
Nintendo Land,WiiU,2012,Misc,Nintendo,2.55,1.11,0.46,0.33,4.45,,
Dramatical Murder Re:code,PSV,2014,Adventure,Nitroplus,0.0,0.0,0.01,0.0,0.01,,
Power Spike Pro Beach Volleyball,PS,2000,Sports,Infogrames,0.03,0.02,0.0,0.0,0.05,48.0,
Theme Park,SAT,1994,Simulation,Electronic Arts,0.0,0.0,0.08,0.0,0.08,,
Kirby's Dream Land 3,SNES,1997,Platform,Nintendo,0.0,0.0,0.36,0.0,0.36,,
The Walking Dead: Season One,PS4,2014,Adventure,Telltale Games,0.12,0.25,0.01,0.08,0.46,,
Stormrise,X360,2009,Strategy,Sega,0.11,0.03,0.0,0.01,0.15000000000000002,48.0,6.8
Dragon Quest V: Hand of the Heavenly Bride,DS,2008,Role-Playing,Square Enix,0.19,0.02,1.36,0.02,1.59,,
Tom Clancy's Ghost Recon,GC,2003,Shooter,Ubisoft,0.11,0.03,0.0,0.0,0.14,59.0,5.4
Pac-Man World 2,GBA,2005,Action,Zoo Digital Publishing,0.08,0.03,0.0,0.0,0.11,,6.0
Dragon Age Origins: Awakening,PC,2010,Role-Playing,Electronic Arts,0.01,0.1,0.0,0.02,0.13,,
Iridium Runners,PS2,2008,Racing,SouthPeak Games,0.01,0.01,0.0,0.0,0.02,57.0,
Sid Meier's Civilization Revolution,PS3,2008,Strategy,Take-Two Interactive,0.49,0.19,0.01,0.1,0.7899999999999999,,
Dynasty Warriors 8: Empires,PS4,2014,Action,Tecmo Koei,0.06,0.07,0.03,0.02,0.18,,
Pipe Mania,PSP,2008,Puzzle,Empire Interactive,0.06,0.0,0.0,0.01,0.06999999999999999,74.0,
Mighty No. 9,XOne,2016,Platform,Deep Silver,0.01,0.0,0.0,0.0,0.01,,
NASCAR 09,X360,2008,Racing,Electronic Arts,0.23,0.0,0.0,0.02,0.25,69.0,7.8
Kids Learn Math: A+ Edition,DS,2011,Misc,Unknown,0.14,0.0,0.0,0.01,0.15000000000000002,,
Metal Dungeon,XB,2002,Role-Playing,Xicat Interactive,0.02,0.01,0.0,0.0,0.03,44.0,7.2
Duke Nukem 64,N64,1997,Shooter,GT Interactive,0.35,0.08,0.0,0.01,0.44,,
NERF N-Strike: Double Blast Bundle,Wii,2010,Shooter,Electronic Arts,0.09,0.0,0.0,0.0,0.09,,
SNK Arcade Classics Vol. 1,PS2,2008,Misc,Ignition Entertainment,0.09,0.07,0.0,0.02,0.18,69.0,
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,,
Game of Thrones (Telltale),PS4,2015,Adventure,Telltale Games,0.04,0.0,0.0,0.01,0.05,,
The Godfather II,PS3,2009,Action,Electronic Arts,0.41,0.22,0.01,0.11,0.75,,
Karaoke Revolution Glee 2: Road to Regionals,Wii,2011,Misc,Konami Digital Entertainment,0.15,0.06,0.0,0.02,0.22999999999999998,,
"SpongeBob SquarePants: Lights, Camera, Pants!",GBA,2005,Misc,THQ,0.37,0.14,0.0,0.01,0.52,,
SSX On Tour,GC,2005,Sports,Electronic Arts,0.13,0.03,0.0,0.0,0.16,80.0,7.5
Sengoku Hime: Senran ni Mau Otometachi,PSP,2009,Adventure,Yeti,0.0,0.0,0.01,0.0,0.01,,
Prince of Persia (2008),PC,2008,Action,Ubisoft,0.0,0.02,0.0,0.0,0.02,,
MLB 11: The Show,PSP,2011,Sports,Sony Computer Entertainment,0.15,0.0,0.0,0.01,0.16,,
Beyblade: Metal Masters,DS,2010,Action,Konami Digital Entertainment,0.16,0.1,0.0,0.03,0.29000000000000004,,
Resident Evil: The Umbrella Chronicles,Wii,2007,Action,Capcom,0.68,0.43,0.29,0.14,1.54,,
EA Sports MMA,PS3,2010,Fighting,Electronic Arts,0.16,0.15,0.01,0.06,0.38,,
The Urbz: Sims in the City,GC,2004,Simulation,Electronic Arts,0.24,0.14,0.0,0.02,0.4,73.0,8.4
Robotech: The Macross Saga,GBA,2002,Shooter,TDK Mediactive,0.15,0.06,0.0,0.0,0.21,61.0,6.5
Pac-Man Collection,GBA,2001,Puzzle,Atari,2.07,0.77,0.05,0.05,2.9399999999999995,79.0,7.8
The Raiden Project,PS,1995,Shooter,Ocean,0.06,0.04,0.12,0.01,0.23,,
Lost: Via Domus,PS3,2008,Action,Ubisoft,0.19,0.23,0.0,0.09,0.51,,
Wario Land II,GB,1997,Platform,Nintendo,0.7,0.35,0.39,0.04,1.48,,
Derby Stallion DS,DS,2008,Sports,Enterbrain,0.0,0.0,0.32,0.0,0.32,,
Transformers,PS2,2004,Shooter,Atari,0.63,0.49,0.0,0.16,1.28,75.0,8.6
Kingdoms of Amalur: Reckoning,X360,2012,Role-Playing,Electronic Arts,0.55,0.25,0.01,0.07,0.8800000000000001,,
Ben 10: Alien Force,DS,2008,Action,Koch Media,0.65,0.22,0.0,0.09,0.96,,2.8
Ishin Renka: Ryouma Gaiden,PSP,2010,Adventure,D3Publisher,0.0,0.0,0.01,0.0,0.01,,
Madden NFL 13,Wii,2012,Sports,Electronic Arts,0.51,0.0,0.0,0.03,0.54,,
Guitar Hero II,X360,2007,Misc,Activision,2.0100000000000002,0.02,0.0,0.17,2.2,,
LEGO The Hobbit,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.12,0.32,0.0,0.1,0.54,,
Digimon World DS (JP sales),DS,2006,Role-Playing,Namco Bandai Games,0.0,0.0,0.23,0.0,0.23,,
Bella Sara 2 - The Magic of Drasilmare,3DS,2013,Adventure,Big Ben Interactive,0.0,0.02,0.0,0.0,0.02,,
GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,,
Napoleon: Total War,PC,2010,Strategy,Sega,0.02,0.52,0.0,0.12,0.66,,
NBA Ballers: Chosen One,X360,2008,Sports,Midway Games,0.17,0.0,0.0,0.01,0.18000000000000002,55.0,4.2
Mega Man Battle Network 3 Blue / White Version,GBA,2002,Role-Playing,Capcom,0.39,0.02,0.85,0.03,1.29,,
"Warhammer 40,000: Dawn of War II",PC,2009,Strategy,THQ,0.0,0.45,0.0,0.02,0.47000000000000003,85.0,8.1
Judge Dredd: Dredd Vs Death,PS2,2003,Shooter,BAM! Entertainment,0.01,0.01,0.0,0.0,0.02,52.0,5.3
Minna no Chizu,PSP,2006,Misc,Zenrin,0.0,0.0,0.04,0.0,0.04,,
The Invincible Iron Man,GBA,2002,Action,Activision,0.03,0.01,0.0,0.0,0.04,68.0,
Trauma Center: Under the Knife 2,DS,2008,Simulation,Atlus,0.1,0.0,0.0,0.01,0.11,79.0,8.5
Winning Post 7 2013,PSV,2013,Sports,Tecmo Koei,0.0,0.0,0.02,0.0,0.02,,
Army Men: Major Malfunction,XB,2006,Shooter,Global Star,0.01,0.0,0.0,0.0,0.01,36.0,4.0
The LEGO Movie Videogame,WiiU,2014,Action,Warner Bros. Interactive Entertainment,0.35,0.23,0.03,0.06,0.6699999999999999,,
Prince of Persia: Warrior Within,PS2,2004,Action,Ubisoft,0.54,0.88,0.0,0.22,1.64,83.0,8.5
The House of the Dead,SAT,1997,Shooter,Sega,0.0,0.0,0.13,0.0,0.13,,
Tom Clancy's Ghost Recon: Advanced Warfighter,PS2,2006,Shooter,Ubisoft,0.03,0.02,0.0,0.01,0.060000000000000005,44.0,4.6
Colin McRae Rally 2005,PC,2004,Racing,Codemasters,0.0,0.01,0.0,0.0,0.01,83.0,7.1
Yu-Gi-Oh! Nightmare Troubadour (JP sales),DS,2005,Action,Konami Digital Entertainment,0.0,0.04,0.1,0.0,0.14,,
Madagascar,XB,2005,Platform,Activision,0.21,0.06,0.0,0.01,0.28,71.0,
SoulCalibur II,XB,2003,Fighting,Namco Bandai Games,0.78,0.18,0.03,0.0,0.99,92.0,8.9
Frontlines: Fuel of War,X360,2008,Shooter,THQ,0.34,0.15,0.01,0.05,0.55,75.0,7.8
Beyond Good & Evil,XB,2003,Adventure,Ubisoft,0.08,0.02,0.0,0.0,0.1,,
Cabela's Dangerous Hunts 2011,PS3,2010,Sports,Activision,0.26,0.04,0.0,0.03,0.32999999999999996,60.0,5.4
Kannou Mukashi Banashi Portable,PSP,2012,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02,,
Monster 4x4: Masters of Metal,GC,2003,Racing,Ubisoft,0.04,0.01,0.0,0.0,0.05,49.0,
All Star Cheer Squad 2,Wii,2009,Sports,THQ,0.12,0.0,0.0,0.01,0.13,,
The Legend of Zelda: The Wind Waker,WiiU,2013,Action,Nintendo,0.93,0.57,0.14,0.13,1.77,,
Rapala Trophies,PSP,2006,Sports,Activision,0.04,0.0,0.0,0.0,0.04,,
Monster Jam,X360,2007,Racing,Activision,0.18,0.0,0.0,0.02,0.19999999999999998,43.0,6.4
Cabela's Dangerous Hunts,XB,2003,Sports,Zoo Digital Publishing,0.26,0.08,0.0,0.01,0.35000000000000003,,9.1
San Goku Shi Taisen DS,DS,2007,Strategy,Sega,0.0,0.0,0.16,0.0,0.16,,
Collar x Malice,PSV,2016,Action,Idea Factory,0.0,0.0,0.01,0.0,0.01,,
Le Mans 24 Hours,PS2,2001,Racing,Infogrames,0.09,0.07,0.02,0.02,0.19999999999999998,75.0,7.6
Diablo III,PS4,2014,Role-Playing,Activision,0.49,0.88,0.06,0.3,1.7300000000000002,,
IL-2 Sturmovik: Birds of Prey,X360,2009,Simulation,505 Games,0.23,0.24,0.0,0.05,0.52,,
Rugby World Cup 2015,PSV,2015,Sports,Ubisoft,0.0,0.03,0.0,0.01,0.04,,
StarCraft,PC,1998,Strategy,Activision,0.0,0.04,0.0,0.01,0.05,88.0,9.1
Hunter: The Reckoning,XB,2002,Action,Interplay,0.28,0.08,0.0,0.01,0.37000000000000005,79.0,8.9
Shovel Knight,PS4,2015,Platform,Yacht Club Games,0.03,0.03,0.0,0.01,0.06999999999999999,90.0,7.6
The Thing,XB,2002,Adventure,Vivendi Games,0.15,0.04,0.0,0.01,0.2,78.0,6.6
Pirates of the Caribbean: At World's End,PS2,2007,Action,Disney Interactive Studios,0.2,0.16,0.0,0.05,0.41,54.0,7.0
The House of the Dead: Overkill - Extended Cut,PS3,2011,Shooter,Sega,0.15,0.17,0.0,0.06,0.38,,
Opoona,Wii,2007,Role-Playing,Tecmo Koei,0.08,0.0,0.01,0.01,0.09999999999999999,65.0,7.7
Jampack Winter '99,PS,1999,Misc,Sony Computer Entertainment,0.94,0.64,0.0,0.11,1.6900000000000002,,
Tohoku Daigaku Karei Igaku Kenkyuusho - Kawashima Ryuuta Kyouju Kanshuu - Mono Sugoku Nou o Kitaeru 5-Funkan no Oni Training,3DS,2012,Action,Nintendo,0.0,0.0,0.27,0.0,0.27,,
Dragon Ball Z: Collectible Card Game,GBA,2002,Misc,Infogrames,0.33,0.12,0.0,0.01,0.46,62.0,5.5
Clannad,PSP,2008,Adventure,Prototype,0.0,0.0,0.04,0.0,0.04,,
Rising Zan: The Samurai Gunman,PS,1998,Action,Agetec,0.01,0.01,0.0,0.0,0.02,,
Naval Ops: Commander,PS2,2004,Simulation,Tecmo Koei,0.03,0.02,0.0,0.01,0.060000000000000005,65.0,
Brave Story: Boku no Kioku to Negai,DS,2006,Role-Playing,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,,
Dark Void,PS3,2010,Action,Capcom,0.18,0.12,0.0,0.06,0.36,,
Bass Landing,PS,1999,Sports,ASCII Entertainment,0.21,0.14,0.23,0.04,0.62,,
Raving Rabbids: Travel in Time,Wii,2010,Adventure,Ubisoft,0.22,0.47,0.0,0.08,0.7699999999999999,,
Ghostbusters: The Video Game,Wii,2009,Action,Atari,0.6,0.21,0.0,0.08,0.8899999999999999,,
Princess Frontier Portable,PSP,2011,Adventure,Alchemist,0.0,0.0,0.02,0.0,0.02,,
Moshi Monsters: Katsuma Unleashed,DS,2013,Action,Activision,0.0,0.13,0.0,0.02,0.15,,
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13,,
Imagine: Ice Champions,DS,2007,Sports,Spike,0.15,0.0,0.0,0.01,0.16,,
Party Pigs: Farmyard Games,Wii,2009,Misc,Data Design Interactive,0.07,0.0,0.0,0.0,0.07,,
Brunswick Circuit Pro Bowling,PS,1998,Sports,THQ,0.1,0.07,0.0,0.01,0.18000000000000002,,
nail'd,PS3,2010,Racing,Deep Silver,0.08,0.02,0.0,0.02,0.12000000000000001,66.0,6.2
Condemned 2: Bloodshot,X360,2008,Action,Sega,0.38,0.19,0.0,0.06,0.6300000000000001,80.0,8.4
Drawn To Life: SpongeBob SquarePants Edition,DS,2008,Adventure,THQ,1.0,0.36,0.0,0.13,1.4899999999999998,,
Combat Mission: Shock Force,PC,2007,Strategy,Paradox Interactive,0.0,0.03,0.0,0.01,0.04,,
Disaster: Day of Crisis,Wii,2008,Action,Nintendo,0.0,0.03,0.04,0.0,0.07,,
Tatsunoko vs. Capcom: Ultimate All-Stars,Wii,2010,Fighting,Capcom,0.32,0.16,0.03,0.05,0.56,,
UNO / Skip-Bo / UNO Freefall,DS,2006,Misc,Zoo Digital Publishing,0.1,0.0,0.0,0.01,0.11,59.0,
Suikoden II,PS,1998,Role-Playing,Konami Digital Entertainment,0.15,0.1,0.38,0.04,0.67,82.0,8.4
Mobile Suit Gundam: Mokuba no Kiseki,PSP,2012,Action,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,,
NBA Live 96,PS,1996,Sports,Electronic Arts,0.16,0.11,0.04,0.02,0.33,,
Tetris Worlds (Online Edition),XB,2003,Puzzle,THQ,0.15,0.04,0.0,0.01,0.2,62.0,
Women's Volleyball Championship,PS2,2007,Sports,Spike,0.0,0.0,0.03,0.0,0.03,32.0,4.0
Forbidden Siren 2,PS2,2006,Action,Sony Computer Entertainment,0.0,0.0,0.08,0.0,0.08,,
Mission: Impossible - Operation Surma,PS2,2003,Platform,Atari,0.14,0.11,0.0,0.04,0.29,64.0,7.8
Mario vs. Donkey Kong 2: March of the Minis,DS,2006,Puzzle,Nintendo,0.74,0.03,0.36,0.07,1.2,,
Kingdoms of Amalur: Reckoning,PS3,2012,Role-Playing,Electronic Arts,0.37,0.3,0.09,0.11,0.8699999999999999,,
RalliSport Challenge 2,XB,2004,Racing,Microsoft Game Studios,0.18,0.08,0.0,0.01,0.27,87.0,9.1
iCarly 2: iJoin The Click!,Wii,2010,Adventure,Activision,0.08,0.01,0.0,0.01,0.09999999999999999,,9.0
Max Payne 2: The Fall of Max Payne,PS2,2003,Shooter,Take-Two Interactive,0.65,0.51,0.0,0.17,1.33,73.0,8.2
Ready 2 Rumble Revolution,Wii,2009,Sports,Atari,0.15,0.0,0.0,0.01,0.16,37.0,
SD Gundam Sangokuden Brave Battle Warriors: Shin Mirisha Taisen,DS,2010,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,,
Tales of Destiny,PS,1997,Role-Playing,Namco Bandai Games,0.09,0.06,0.83,0.07,1.05,,
Frogger's Journey: The Forgotten Relic,GBA,2003,Action,Konami Digital Entertainment,0.18,0.07,0.0,0.0,0.25,59.0,
Neverland Card Battles,PSP,2008,Role-Playing,Idea Factory,0.04,0.0,0.0,0.01,0.05,57.0,7.8
Nicktoons: Attack of the Toybots,DS,2007,Platform,THQ,0.04,0.0,0.0,0.0,0.04,54.0,
Sengoku Basara 2,PS2,2006,Action,Capcom,0.0,0.0,0.26,0.0,0.26,,
Impossible Creatures,PC,2002,Strategy,Microsoft Game Studios,0.0,0.01,0.0,0.0,0.01,72.0,8.0
Jikkyou Powerful Major League 2009,Wii,2009,Sports,Konami Digital Entertainment,0.0,0.0,0.04,0.0,0.04,,
NFL 2K3,PS2,2002,Sports,Atari,1.06,0.08,0.0,0.18,1.32,93.0,7.4
Adventure Time: Finn & Jake Investigations,X360,2015,Action,Little Orbit,0.02,0.06,0.0,0.01,0.09,,
Catherine,PS3,2011,Adventure,Deep Silver,0.3,0.15,0.2,0.07,0.72,,
Help Wanted: 50 Wacky Jobs (jp sales),Wii,2008,Simulation,Hudson Soft,0.0,0.01,0.01,0.0,0.02,,
Blue Roses: Yousei to Aoi Hitomi no Senshitachi,PSP,2010,Adventure,Nippon Ichi Software,0.0,0.0,0.04,0.0,0.04,,
Mame Goma: Honobo no Nikki,DS,2007,Simulation,TDK Core,0.0,0.0,0.03,0.0,0.03,,
Lemmings,PSP,2006,Puzzle,Sony Computer Entertainment,0.12,0.52,0.0,0.23,0.87,,
GRID Autosport,PC,2014,Racing,Codemasters,0.0,0.02,0.0,0.0,0.02,78.0,6.2
Command & Conquer 3: Deluxe Edition,PC,2008,Strategy,Electronic Arts,0.0,0.02,0.0,0.0,0.02,,
Disney Sing It! High School Musical 3: Senior Year,PS2,2008,Misc,Disney Interactive Studios,0.09,0.02,0.0,0.34,0.45,,
NASCAR Unleashed,X360,2011,Racing,Activision,0.11,0.0,0.0,0.01,0.12,,
Worms Reloaded,PC,2010,Strategy,Team17 Software,0.0,0.04,0.0,0.01,0.05,79.0,6.8
College Slam,PS,1995,Sports,Acclaim Entertainment,0.1,0.07,0.0,0.01,0.18000000000000002,,
NBA 2K3,XB,2002,Sports,Sega,0.24,0.07,0.0,0.01,0.32,87.0,7.9
Rock Revolution,X360,2008,Misc,Konami Digital Entertainment,0.25,0.0,0.0,0.02,0.27,38.0,5.1
Battlefield: Bad Company 2,PS3,2010,Shooter,Electronic Arts,1.33,1.12,0.08,0.45,2.9800000000000004,,
Imagine: Gymnast,DS,2008,Simulation,Ubisoft,0.05,0.01,0.0,0.0,0.060000000000000005,,
Hidden Objects: Mystery Stories,DS,2009,Adventure,GSP,0.19,0.43,0.0,0.05,0.67,,
Wipeout 2,3DS,2011,Misc,Activision,0.22,0.0,0.0,0.01,0.23,,
WSC Real 11: World Snooker Championship,X360,2011,Sports,Koch Media,0.0,0.04,0.0,0.01,0.05,,
Gekiatsu!! Pachi Game Tamashi Max: Evangelion 7 x Seimei no Kodou,PS3,2012,Misc,Fields,0.0,0.0,0.03,0.0,0.03,,
SWAT: Global Strike Team,XB,2003,Shooter,Vivendi Games,0.13,0.04,0.0,0.01,0.18000000000000002,69.0,6.3
Mega Man Legacy Collection,PS4,2016,Platform,Capcom,0.06,0.0,0.0,0.01,0.06999999999999999,,
SBK Superbike World Championship,PS3,2008,Racing,Black Bean Games,0.12,0.11,0.0,0.02,0.24999999999999997,59.0,6.1
Romance of the Three Kingdoms X,PS2,2005,Strategy,Tecmo Koei,0.04,0.03,0.0,0.01,0.08,71.0,8.5
True Love Story 3,PS2,2001,Simulation,Enterbrain,0.0,0.0,0.04,0.0,0.04,,
Big Idea's VeggieTales: LarryBoy and the Bad Apple,PS2,2006,Action,Crave Entertainment,0.01,0.01,0.0,0.0,0.02,,
Academy of Champions: Soccer,Wii,2009,Sports,Ubisoft,0.1,0.02,0.0,0.01,0.13,,
FIFA Soccer 2002,PS,2001,Sports,Electronic Arts,0.08,0.06,0.0,0.01,0.15000000000000002,81.0,6.4
LEGO Marvel's Avengers,WiiU,2016,Action,Warner Bros. Interactive Entertainment,0.12,0.09,0.0,0.02,0.22999999999999998,,
Higurashi Daybreak Portable,PSP,2008,Adventure,Alchemist,0.0,0.0,0.06,0.0,0.06,,
Cabela's Big Game Hunter 2005 Adventures,XB,2004,Sports,Activision,0.13,0.04,0.0,0.01,0.18000000000000002,65.0,8.3
Kid Icarus: Uprising,3DS,2012,Action,Nintendo,0.48,0.35,0.36,0.07,1.26,83.0,8.7
John Daly's ProStroke Golf,X360,2010,Sports,O-Games,0.01,0.0,0.0,0.0,0.01,57.0,
The Idolmaster: Gravure For You! Vol. 5,PS3,2012,Misc,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,
Justice League Heroes: The Flash,GBA,2006,Action,Eidos Interactive,0.02,0.01,0.0,0.0,0.03,72.0,7.4
LEGO Harry Potter: Years 1-4,DS,2010,Action,Warner Bros. Interactive Entertainment,1.07,1.05,0.0,0.23,2.35,,
East India Company,PC,2009,Strategy,Paradox Interactive,0.01,0.0,0.0,0.0,0.01,67.0,5.7
Omerta: City of Gangsters,PS3,2011,Simulation,Konami Digital Entertainment,0.52,0.46,0.0,0.17,1.15,,
Naruto Shippuden: Ultimate Ninja 5,PS2,2007,Fighting,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,,
Puzzler World,DS,2009,Puzzle,Ubisoft,0.41,0.3,0.0,0.07,0.78,,
Adventure Time: The Secret of the Nameless Kingdom,X360,2014,Action,Little Orbit,0.0,0.08,0.0,0.01,0.09,,
Kamen Rider: Battride War Genesis,PS3,2016,Action,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,,
Skylanders: Spyro's Adventure,3DS,2011,Action,Activision,0.32,0.2,0.0,0.05,0.5700000000000001,82.0,4.9
Backyard Baseball 2006,GBA,2005,Sports,Atari,0.25,0.09,0.0,0.01,0.35,,
